mi;mj;Oi;Dj
15998;15998;3421;925
162453;162453;13956;11702
45787;45787;6060;4115
137985;137985;10496;14709
51104;51104;14913;4154
26090;26090;3117;2680
26448;26448;2992;1169
38543;38543;796;889
31252;31252;4853;2049
64753;64753;21223;7539
14273;14273;2051;1407
38520;38520;2035;1358
27472;27472;1154;3252
103655;103655;29225;19085
31437;31437;1916;4600
436141;436141;42525;29224
26023;26023;4260;1323
17370;17370;1390;1325
77654;77654;4394;12930
42285;42285;5356;4290
46527;46527;6804;3603
36016;36016;1052;1237
36079;36079;2156;2165
279320;279320;27183;59232
61518;61518;13812;5414
27339;27339;1514;2194
13138;13138;852;286
63351;63351;6326;8285
158422;158422;16898;10156
238603;238603;16937;25803
16571;16571;3763;1359
574335;574335;25415;77689
2301;2301;548;179
11333;11333;2176;722
87904;87904;21749;8478
21119;21119;4609;1681
98890;98890;14759;6222
156951;156951;45826;20155
7024;7024;295;522
11943;11943;1124;881
788149;788149;158717;116647
24527;24527;2085;1706
64634;64634;1311;1284
28274;28274;1898;1625
40553;40553;5298;3860
25326;25326;4644;2666
82874;82874;10366;11826
14478;14478;3449;891
145945;145945;33612;13324
61266;61266;10958;6604
10315;10315;1146;907
170200;170200;18890;11586
47874;47874;9437;3590
1194156;1194156;174248;290291
26873;26873;4971;1255
21645;21645;2053;1662
7818;7818;742;215
23197;23197;3857;3034
9418;9418;977;490
23301;23301;1373;3101
238314;238314;45459;37460
14411;14411;1846;625
25469;25469;2579;1722
210039;210039;16415;26873
164235;164235;28073;8307
62422;62422;8387;5699
44547;44547;6768;3325
8903;8903;454;318
71687;71687;16889;4758
58266;58266;12826;3475
76263;76263;17367;6334
322895;322895;39232;70042
2061162;2061162;208466;233731
30484;30484;2694;5634
15301;15301;2122;818
298084;298084;95941;42735
30000;30000;3375;2101
39650;39650;2152;2991
34226;34226;11452;8493
5820;5820;612;456
55941;55941;7169;9823
26911;26911;1409;3175
31671;31671;4502;3403
70205;70205;22697;14388
27150;27150;4557;3050
13088;13088;1605;1534
41101;41101;13640;4806
51229;51229;13470;6665
8423;8423;1116;578
5168;5168;106;345
12167;12167;961;1364
55099;55099;3301;5069
355904;355904;107126;63894
17731;17731;5129;1435
32821;32821;1847;2802
16181;16181;1732;1200
21122;21122;3938;1552
32584;32584;3516;1702
44127;44127;7530;7017
6289;6289;897;587
1116200;1116200;102306;302141
19718;19718;5053;1443
18376;18376;2969;1430
31287;31287;9703;3521
43992;43992;2951;1648
11268;11268;1628;1032
14996;14996;3258;1014
41203;41203;2401;3020
5285;5285;619;328
14355;14355;410;278
8067;8067;1011;418
11058;11058;1421;798
4522;4522;394;193
25426;25426;7012;2880
6429;6429;1123;448
25425;25425;768;3054
34898;34898;4557;5070
5190;5190;447;903
10155;10155;1954;602
21802;21802;1621;1290
22644;22644;4830;1764
22330;22330;4224;4212
31712;31712;4815;2389
38603;38603;4166;2791
9165;9165;1464;505
29771;29771;8065;7040
20832;20832;1381;1868
7442;7442;1012;366
124277;124277;3607;17993
57159;57159;4903;2610
13584;13584;588;1916
26530;26530;4587;1799
9895;9895;901;895
31369;31369;4303;3292
11236;11236;1698;829
511035;511035;108038;164187
4299;4299;829;365
16815;16815;1482;1614
17154;17154;2449;1219
56665;56665;8363;5358
9721;9721;1513;648
16338;16338;399;926
200528;200528;8437;13905
89498;89498;31723;16317
64417;64417;23089;8169
15356;15356;3883;755
133166;133166;13853;21018
33680;33680;2999;4808
10053;10053;569;1029
11956;11956;1223;903
24426;24426;4487;1232
4134;4134;335;295
21610;21610;4849;1631
13713;13713;1460;2682
19526;19526;2924;1908
201130;201130;71336;33650
11876;11876;1390;756
7138;7138;1835;918
49985;49985;4360;5066
89986;89986;27023;9667
11080;11080;1788;1332
34340;34340;1897;3396
34558;34558;3040;3858
13599;13599;2767;558
19661;19661;1957;965
8026;8026;1765;610
40633;40633;2748;1739
15069;15069;2225;718
10769;10769;3325;450
19440;19440;3023;3290
9758;9758;1822;1255
11831;11831;1599;1439
17955;17955;2829;1121
21979;21979;2446;2441
30622;30622;2177;2152
28757;28757;5126;1686
19407;19407;3330;1714
107199;107199;33729;13632
72604;72604;8003;16498
8448;8448;1362;474
19144;19144;3776;1094
13299;13299;2559;517
23263;23263;1254;3807
42967;42967;6932;6652
189601;189601;9449;23487
250800;250800;22264;53300
21609;21609;2328;1009
11206;11206;736;883
2274;2274;456;164
22770;22770;5750;1148
131420;131420;16994;12361
18149;18149;3247;1602
9740;9740;1359;644
13962;13962;2697;633
64958;64958;4998;6659
10453;10453;2308;483
38744;38744;2795;3203
39070;39070;10749;6485
78161;78161;2550;7151
13258;13258;2418;1051
20940;20940;2929;1622
75755;75755;4270;19410
37947;37947;1204;4192
33166;33166;3653;3530
61586;61586;3409;6019
74674;74674;19953;13775
25595;25595;2641;2112
34993;34993;8304;2158
38014;38014;5883;2061
12189;12189;1943;856
28684;28684;2883;3581
21838;21838;3234;2009
12548;12548;1087;856
42902;42902;3321;3733
34274;34274;4457;2962
48621;48621;9002;1619
12138;12138;2636;1328
38940;38940;2759;4274
26726;26726;4896;3679
25556;25556;3993;3054
10117;10117;1711;525
115327;115327;29529;19102
28423;28423;3231;4280
6580;6580;678;398
27639;27639;5085;1505
16182;16182;3257;1242
13622;13622;2451;1116
34369;34369;2334;2825
14903;14903;2580;448
25370;25370;5254;2087
20826;20826;3015;1553
19163;19163;3128;1772
9227;9227;425;10860
25362;25362;4666;3041
15156;15156;2592;818
49644;49644;2762;5507
62977;62977;1648;3041
21216;21216;2470;1235
10294;10294;1650;1348
10312;10312;1279;668
20160;20160;2283;1026
13051;13051;2395;829
28149;28149;2819;1319
24977;24977;1115;2449
16492;16492;5890;725
6430;6430;817;467
25853;25853;2263;2748
34010;34010;3781;5082
12541;12541;1381;1692
16653;16653;3194;799
17180;17180;2531;673
12029;12029;3253;370
135454;135454;6589;11893
85998;85998;5809;10895
40867;40867;1838;4245
8969;8969;2499;458
40766;40766;9426;3318
37051;37051;3897;4095
68693;68693;3361;11036
10285;10285;1521;325
5941;5941;817;291
82092;82092;26139;5820
13733;13733;1724;822
8438;8438;1580;548
54285;54285;17644;5004
7416;7416;1737;503
184006;184006;49689;38811
18979;18979;5964;1871
71397;71397;3377;18841
16670;16670;2787;1570
22804;22804;4132;1303
7923;7923;1475;571
15661;15661;3418;624
8016;8016;1718;634
11597;11597;2240;1806
14927;14927;1627;700
13084;13084;2274;602
33155;33155;3753;2095
93807;93807;18200;9069
15342;15342;2623;2049
6861;6861;982;554
240391;240391;8268;38510
10432;10432;1121;801
8850;8850;997;631
21997;21997;2721;2110
8940;8940;1472;499
5351;5351;869;340
10212;10212;2500;561
37238;37238;1544;3192
10697;10697;1686;1230
654880;654880;77254;139047
104686;104686;8345;15600
198099;198099;63669;12348
48258;48258;7365;3561
4361;4361;666;300
32513;32513;2399;3036
32960;32960;7857;2189
35204;35204;7368;2445
10494;10494;2157;686
38944;38944;10066;1917
13754;13754;1277;1160
14558;14558;920;1478
21681;21681;4637;1538
15762;15762;2047;929
11800;11800;1924;737
8903;8903;2657;520
28289;28289;3059;4490
3757;3757;545;691
23564;23564;4572;2332
13427;13427;1866;1125
14827;14827;3092;1356
9311;9311;1931;1123
12136;12136;2412;819
19309;19309;3147;1174
19760;19760;2682;3205
52636;52636;10369;9292
21912;21912;1294;1372
10344;10344;1358;712
13062;13062;3829;1132
9542;9542;1632;289
20047;20047;2233;1375
18132;18132;2077;2433
39403;39403;2522;4113
39825;39825;2689;3342
18351;18351;2282;1437
73781;73781;24721;21494
26992;26992;4383;1692
41165;41165;2662;4344
5223;5223;818;259
9626;9626;2883;1406
24663;24663;2386;2590
23354;23354;6944;1413
6689;6689;626;592
13509;13509;1903;368
283883;283883;79004;28619
9652;9652;1757;532
17842;17842;3421;1232
55641;55641;6110;4552
1016315;1016315;139408;221388
23756;23756;1648;1477
4170;4170;979;224
4983;4983;653;300
40422;40422;6663;5630
8324;8324;1152;292
6799;6799;884;368
29705;29705;3768;2226
28658;28658;6279;1123
7219;7219;697;953
39703;39703;1693;5795
23003;23003;2865;1766
20454;20454;1939;1282
24525;24525;6802;2652
23344;23344;4403;984
13259;13259;1953;442
31045;31045;7486;2037
2382;2382;410;179
17955;17955;2566;1502
348189;348189;58234;180495
9202;9202;250;306
12671;12671;639;803
7009;7009;238;226
4385;4385;598;224
9552;9552;1445;231
1360;1360;72;51
80357;80357;1021;1442
5970;5970;518;162
11696;11696;246;300
2017;2017;45;67
9059;9059;233;183
9417;9417;997;394
2837;2837;124;129
11893;11893;206;232
74471;74471;1012;1417
67831;67831;1488;2006
1279;1279;25;33
13247;13247;208;286
1042;1042;137;79
2830;2830;327;164
16673;16673;359;481
10049;10049;2953;948
2329;2329;230;57
26507;26507;1747;882
55716;55716;1236;3675
2158;2158;79;107
18837;18837;528;176
1977;1977;195;57
6851;6851;556;471
1932;1932;99;121
3884;3884;407;242
95802;95802;2241;5289
4497;4497;413;74
15694;15694;1582;439
493;493;29;31
4601;4601;130;79
6424;6424;393;252
1858;1858;118;25
7180;7180;539;526
1199;1199;93;80
36070;36070;3559;1103
9667;9667;342;290
10620;10620;307;499
9383;9383;237;643
10227;10227;558;282
4105;4105;89;70
34606;34606;1077;1530
8195;8195;1035;822
3609;3609;202;410
6445;6445;564;204
5267;5267;200;356
861;861;85;65
7675;7675;223;231
2259;2259;147;84
1068;1068;141;53
129352;129352;2082;3702
31151;31151;1620;2972
7452;7452;907;427
444;444;76;18
819;819;186;48
583;583;53;58
6259;6259;631;375
12158;12158;169;665
2438;2438;203;108
3525;3525;161;186
42259;42259;2034;4035
7791;7791;1428;269
8767;8767;1859;455
24334;24334;8331;1505
9615;9615;1492;471
4068;4068;150;267
6148;6148;318;312
9830;9830;249;743
7039;7039;1246;664
10441;10441;1548;1080
10203;10203;984;628
11793;11793;630;317
20253;20253;4818;6010
9060;9060;438;311
24365;24365;1085;1460
2098;2098;331;192
6339;6339;1537;619
36160;36160;4771;3540
463585;463585;23051;78473
2292;2292;173;105
6634;6634;736;425
3574;3574;529;197
3099;3099;459;226
5324;5324;505;448
22993;22993;2357;1743
2292;2292;150;80
1902;1902;163;182
2143;2143;535;178
747;747;43;78
2714;2714;309;137
53534;53534;2347;5741
9403;9403;1665;834
3786;3786;556;229
1068;1068;137;78
3111;3111;552;182
11551;11551;370;389
783;783;51;58
6567;6567;1566;244
8333;8333;1043;878
4488;4488;864;438
6882;6882;1551;616
8875;8875;584;451
983;983;112;13
4089;4089;289;239
9374;9374;963;461
250291;250291;7955;15335
34632;34632;793;1059
774;774;149;53
712;712;95;22
533;533;78;26
35226;35226;1591;5158
8204;8204;1790;713
5440;5440;732;242
4038;4038;744;159
7576;7576;685;1369
5057;5057;611;259
15396;15396;2414;1646
3087;3087;476;242
3200;3200;259;210
9747;9747;735;1077
7857;7857;1783;492
31662;31662;1368;4057
5639;5639;1151;338
11448;11448;450;901
9531;9531;1208;327
1756;1756;141;140
13843;13843;1933;1644
122595;122595;39453;18402
19830;19830;5797;1518
36951;36951;845;1632
16496;16496;3282;1833
6198;6198;532;270
3318;3318;556;168
1475;1475;300;59
6455;6455;2060;634
6055;6055;466;656
729;729;90;87
7171;7171;811;639
4647;4647;313;239
18780;18780;5285;2855
9851;9851;1729;1308
4061;4061;607;209
886;886;74;133
14598;14598;788;1790
23982;23982;1682;1047
1375765;1375765;10081;23674
41259;41259;6448;7117
45291;45291;2399;1810
971;971;127;43
1651;1651;82;1613
16106;16106;427;1091
5794;5794;621;188
4165;4165;150;354
34501;34501;7275;2276
5071;5071;227;150
32485;32485;2888;1733
6693;6693;573;472
3399;3399;1409;351
339486;339486;7178;13928
9181;9181;250;199
52457;52457;5610;10624
56325;56325;9204;7051
43666;43666;4955;3508
73825;73825;8607;4455
33111;33111;2637;1916
81743;81743;7435;17605
380841;380841;56278;45540
136225;136225;21604;22296
277359;277359;69854;49362
112233;112233;24015;12125
40458;40458;7492;2625
252552;252552;16565;31229
884118;884118;180873;188445
423394;423394;90928;66659
508932;508932;106615;72452
102326;102326;12206;6525
146438;146438;13507;14002
793633;793633;152603;178923
254673;254673;65580;32879
608975;608975;142999;113341
121989;121989;36487;24222
350761;350761;50741;87776
750162;750162;161137;167998
615301;615301;116568;66633
470212;470212;100896;138221
510916;510916;88484;19640
489049;489049;114474;77428
64285;64285;14495;8754
297490;297490;84770;95917
144166;144166;43036;10291
522541;522541;125192;115820
102437;102437;29302;16382
556678;556678;17586;44107
3543;3543;188;162
61382;61382;1246;1003
25595;25595;1878;917
14189;14189;363;675
45044;45044;1652;1735
2240;2240;106;92
174682;174682;12205;6767
51658;51658;916;1340
31002;31002;535;457
4680;4680;166;488
810;810;48;66
5932;5932;406;231
55511;55511;1195;1224
19411;19411;926;831
18343;18343;343;8884
25016;25016;714;444
74798;74798;3117;2529
5180;5180;756;173
62298;62298;3062;1172
10155;10155;336;202
41190;41190;7182;2347
18018;18018;1545;659
89908;89908;22748;10467
113801;113801;2832;2062
30126;30126;2837;923
129292;129292;10644;11127
13270;13270;395;357
18078;18078;1230;434
29979;29979;1182;702
16911;16911;3235;923
4174;4174;284;120
66152;66152;14369;2830
294565;294565;24109;101045
49927;49927;6238;2975
1332650;1332650;245934;112036
200536;200536;7545;18696
83955;83955;10642;7427
81963;81963;13441;4615
139750;139750;6556;6408
91070;91070;7263;10440
51401;51401;7152;3802
79894;79894;2904;2757
63094;63094;10629;5673
48599;48599;6196;4664
48055;48055;5861;5771
280150;280150;39418;25391
950265;950265;24637;49442
38851;38851;4109;4088
51134;51134;3821;3377
55073;55073;8210;3446
60370;60370;11361;6217
48195;48195;8428;3798
5379;5379;712;319
64427;64427;11856;4579
111738;111738;2967;4418
2465326;2465326;468598;235918
26944;26944;3900;1033
64328;64328;14240;6311
69441;69441;15765;7666
735343;735343;16373;61167
49708;49708;8050;5921
1334544;1334544;259606;194800
1537195;1537195;119872;1458766
219846;219846;33157;15999
235469;235469;11725;19230
458336;458336;12468;47516
100224;100224;19058;17156
341367;341367;52491;27758
44171;44171;8938;3236
122377;122377;21664;5527
61676;61676;6227;5164
95745;95745;34407;10272
2229379;2229379;563155;228693
152538;152538;41189;20306
443728;443728;104898;34046
286753;286753;60218;28954
111931;111931;3421;2591
200635;200635;51371;16984
146555;146555;29114;24519
31582;31582;5575;2229
19224;19224;4585;1562
33342;33342;6344;3535
98726;98726;9530;8891
1419369;1419369;178241;71355
73966;73966;9589;3737
51784;51784;14353;5358
96501;96501;4050;13713
177749;177749;27323;10356
63303;63303;8076;12762
61042;61042;13563;6005
93765;93765;21326;8081
923459;923459;157417;133731
43424;43424;8432;4700
24621;24621;4454;1432
130800;130800;15946;12988
33603;33603;8849;2466
10677;10677;1135;926
25275;25275;3967;1722
24384;24384;2787;1135
17167;17167;2042;2578
44958;44958;4379;4434
19773;19773;3045;2440
32278;32278;4537;4095
73143;73143;10807;5890
206330;206330;10483;20727
89148;89148;13089;8443
131063;131063;30950;21923
77415;77415;12033;6324
6885;6885;2380;436
59383;59383;6856;3609
23501;23501;7215;1169
141685;141685;11483;32298
49329;49329;13633;5883
24298;24298;1868;1862
14526;14526;1688;1405
8775;8775;1789;607
96287;96287;14443;7567
54749;54749;5769;3047
91436;91436;5879;10398
302963;302963;13056;25880
18190;18190;5722;1604
29967;29967;1514;3332
147246;147246;32240;13134
34835;34835;8924;2982
49063;49063;6865;5142
223314;223314;28110;81786
55606;55606;9750;7318
306067;306067;28517;50978
47260;47260;14469;4409
190365;190365;33001;18795
10516;10516;2747;440
7993;7993;790;186
48498;48498;9537;7639
18974;18974;4872;1359
421048;421048;25789;81795
57370;57370;6084;4475
91025;91025;24593;7931
54033;54033;6458;2130
89173;89173;9995;8438
22601;22601;2689;3405
33646;33646;9001;2696
5826;5826;276;455
122660;122660;18399;13182
33121;33121;3932;3985
121965;121965;31695;11660
10381;10381;3092;819
49040;49040;6481;10498
59648;59648;5120;8452
63780;63780;16543;5960
42151;42151;4865;3575
29811;29811;2106;1952
19635;19635;4621;1287
25593;25593;4373;1836
695454;695454;33307;146192
15687;15687;2112;2074
26822;26822;3420;2958
74769;74769;7620;7851
87420;87420;12168;14765
160307;160307;7701;19669
22086;22086;4511;1880
150355;150355;8070;6529
118227;118227;25768;24096
12934;12934;2375;767
34897;34897;3328;4628
41082;41082;10964;3304
11368;11368;2755;742
35623;35623;6922;2746
133798;133798;8861;11993
18324;18324;3857;1359
130454;130454;27156;10970
46564;46564;4844;3204
123339;123339;13235;7162
91928;91928;16107;8412
130340;130340;19574;14655
62899;62899;5842;2893
60161;60161;9564;3631
35998;35998;3630;6010
58100;58100;8736;3827
44711;44711;15379;2788
71219;71219;8634;10157
12968;12968;1489;2117
29334;29334;2650;2341
4149;4149;604;406
123677;123677;28579;12963
42954;42954;5339;5082
627846;627846;66027;87735
19972;19972;3941;1019
13723;13723;1731;1757
42695;42695;2887;4237
113329;113329;9157;7071
65632;65632;6764;2868
73814;73814;6635;9923
36348;36348;9695;3444
17774;17774;2636;1033
2593;2593;159;156
11775;11775;862;518
6964;6964;542;458
888;888;143;192
7149;7149;639;208
3242;3242;145;206
2242;2242;216;127
69416;69416;3903;7212
123138;123138;7442;17008
4831;4831;238;271
5757;5757;358;333
2283;2283;104;133
3600;3600;427;273
2757;2757;327;165
4331;4331;210;191
3759;3759;235;385
1924;1924;94;143
66109;66109;3145;5594
2841;2841;208;113
2754;2754;162;136
2715;2715;168;87
2753;2753;199;102
4701;4701;438;222
2308;2308;179;119
5987;5987;1034;263
3390;3390;127;166
5737;5737;450;489
9311;9311;989;630
8644;8644;345;732
25303;25303;6687;2965
6631;6631;585;321
3715;3715;388;268
2065;2065;391;233
8585;8585;625;1036
4675;4675;233;346
12066;12066;572;736
5890;5890;674;472
2610;2610;372;195
17998;17998;2057;2437
13674;13674;226;424
4366;4366;375;951
1710;1710;141;98
4044;4044;116;484
767;767;105;89
22636;22636;649;678
2258;2258;342;113
21908;21908;512;853
2876;2876;227;220
8477;8477;1104;587
12389;12389;836;799
58795;58795;1227;2212
5102;5102;303;338
19761;19761;426;491
27330;27330;4464;1215
108473;108473;7385;14479
52523;52523;7959;4982
102728;102728;12710;4961
62223;62223;4287;4866
46611;46611;9152;7029
70226;70226;10042;6097
42285;42285;11913;2809
332807;332807;69788;43246
28836;28836;7347;2412
38890;38890;10036;4028
144742;144742;20736;12500
177977;177977;52900;20430
40543;40543;6059;10398
112075;112075;19536;7790
36655;36655;4504;1912
46966;46966;7377;4270
1393978;1393978;56661;182737
53309;53309;9309;3885
39500;39500;6512;5990
109989;109989;36683;22325
79551;79551;9364;9847
122759;122759;33717;10214
28433;28433;4715;2697
1068978;1068978;40086;143849
42084;42084;8124;8785
31069;31069;2982;3242
90895;90895;25447;15379
147886;147886;32446;35803
40792;40792;4390;3276
845303;845303;62090;183735
71295;71295;6683;12174
31945;31945;5495;2164
15856;15856;3451;1282
29210;29210;5977;3236
40875;40875;7633;3211
28241;28241;6082;1885
38943;38943;4295;5340
59487;59487;9251;7702
32641;32641;4228;3094
73894;73894;9019;6150
54500;54500;7392;3160
227511;227511;43899;30045
62319;62319;13413;2957
145491;145491;28782;13805
46005;46005;6838;5240
284664;284664;44070;19185
455054;455054;32148;51466
40213;40213;10245;5605
257555;257555;32399;26310
66217;66217;6447;6447
151095;151095;40831;19627
23072;23072;4521;800
40924;40924;6732;2840
98868;98868;18619;13203
15180;15180;2219;1797
559062;559062;48150;76946
14897;14897;2749;528
31628;31628;10108;1828
84585;84585;7899;8000
14058;14058;2276;1044
40985;40985;8510;4284
20293;20293;5104;1216
34078;34078;8395;1742
52727;52727;12137;7557
27695;27695;3540;5171
152061;152061;38662;20772
42337;42337;10940;2833
34726;34726;7239;2393
128852;128852;9341;11943
73345;73345;8986;6725
61792;61792;9326;7548
79195;79195;6436;3653
58683;58683;10496;5491
47910;47910;5384;10982
378098;378098;36666;31105
542899;542899;64608;76711
225116;225116;26412;29040
90914;90914;11268;6440
40909;40909;8716;14678
29659;29659;4956;3234
12806;12806;2865;870
158383;158383;47063;33244
63251;63251;8201;6857
111564;111564;14728;12520
39188;39188;4658;4731
121065;121065;27076;26882
22908;22908;3802;2823
21038;21038;2959;1037
6105;6105;609;331
13879;13879;1463;736
5857;5857;985;383
19799;19799;916;1578
11976;11976;922;836
36534;36534;5105;1725
30150;30150;3554;1414
87697;87697;27387;8194
45621;45621;1908;4015
42521;42521;4829;2358
15342;15342;1529;852
3148;3148;194;123
208016;208016;51613;16125
6031;6031;926;305
114996;114996;2870;4578
6614;6614;1358;206
14950;14950;1470;2244
67367;67367;15858;7109
26142;26142;1973;2229
37077;37077;6763;1817
4743;4743;653;474
4075;4075;599;299
57813;57813;1743;2221
27210;27210;2832;2438
45516;45516;8446;2880
5144;5144;774;323
6061;6061;614;433
3283;3283;260;98
3562;3562;350;256
11792;11792;1515;532
14154;14154;1848;731
28439;28439;755;1898
6818;6818;906;463
10513;10513;1700;1096
48080;48080;1655;3025
13926;13926;1907;1045
10227;10227;1104;710
10692;10692;1385;765
48109;48109;6810;2145
32080;32080;7612;1781
33924;33924;9719;2178
8831;8831;1871;555
27740;27740;8214;3006
34402;34402;1441;1208
19456;19456;3078;943
7545;7545;1028;726
13184;13184;1592;976
38369;38369;4768;2718
12623;12623;1646;814
69451;69451;4547;7646
11411;11411;1455;1316
10569;10569;2423;491
11814;11814;1603;665
660448;660448;21779;107787
39685;39685;5817;2014
44437;44437;12391;2416
33194;33194;4017;1936
16612;16612;4351;656
68190;68190;4026;4838
43953;43953;1764;1982
35143;35143;1505;2575
65521;65521;9495;5270
11667;11667;1126;700
3436;3436;457;272
70641;70641;18349;7915
24894;24894;3041;2243
38972;38972;6866;1333
43182;43182;2781;1835
20107;20107;1364;1401
9287;9287;857;376
563299;563299;15682;77576
57491;57491;20337;2884
48996;48996;4454;2980
11508;11508;2096;635
9089;9089;467;506
18486;18486;803;1123
16741;16741;529;351
78153;78153;7707;9181
338391;338391;84869;53300
35630;35630;1404;1586
43560;43560;9924;2734
62779;62779;1195;946
19182;19182;1570;1181
21137;21137;700;700
115367;115367;3070;3726
100399;100399;2474;1926
1915;1915;105;198
7935;7935;185;203
7609;7609;67;127
20411;20411;1483;2168
181269;181269;3916;4270
19009;19009;1957;1033
75726;75726;4128;2326
63775;63775;1022;1165
7422;7422;170;134
322959;322959;6167;6266
44479;44479;1302;1073
103069;103069;12859;10646
31615;31615;1756;4338
284834;284834;24784;27123
10995;10995;1594;865
660486;660486;72306;169045
62380;62380;16120;5896
1934;1934;203;236
24262;24262;1230;652
70548;70548;3743;4553
24530;24530;654;447
7226;7226;143;138
23791;23791;1876;1784
445342;445342;73838;74254
1547;1547;124;48
84992;84992;13977;6474
91292;91292;20970;8202
1281666;1281666;45444;146050
72392;72392;13483;5611
181412;181412;34087;14545
49984;49984;6673;3314
373638;373638;37001;26273
129144;129144;6142;11471
62761;62761;6482;4837
597635;597635;135256;73484
174083;174083;29515;23551
152598;152598;12141;10595
5974;5974;382;692
58802;58802;13527;3551
135758;135758;5245;13749
433501;433501;80379;77787
41765;41765;4637;3383
83382;83382;9880;7121
37914;37914;5513;2995
64151;64151;7224;6808
90366;90366;8673;5575
213674;213674;32754;46884
251798;251798;27241;70602
550864;550864;115780;78064
35112;35112;1714;1883
280843;280843;4753;9680
148644;148644;22031;6680
4946;4946;771;1059
129313;129313;17484;9838
14261;14261;3004;2056
40672;40672;5534;3779
45586;45586;6645;2855
89605;89605;8954;6956
45932;45932;6433;4545
22821;22821;4675;1698
213295;213295;14996;19400
470658;470658;30023;23076
94643;94643;12727;8192
120327;120327;22127;9910
312090;312090;37579;53983
319250;319250;20505;21616
120044;120044;6677;8126
45936;45936;3610;2425
120293;120293;10784;10667
46486;46486;4366;2535
138687;138687;22413;11923
750097;750097;134063;201193
18236;18236;3335;6951
267066;267066;57133;29593
94556;94556;17299;9380
43602;43602;14653;2074
1517550;1517550;139720;230374
46302;46302;13832;2606
18080;18080;1981;1861
150336;150336;18717;7602
37546;37546;5499;6043
80023;80023;9164;4535
6556;6556;979;614
42238;42238;9684;1906
41373;41373;4321;2368
41624;41624;5490;7941
57565;57565;5501;4433
43863;43863;3703;2001
202897;202897;36253;21362
47722;47722;7250;4539
369993;369993;59179;33343
28080;28080;6069;4481
381751;381751;50950;27268
50648;50648;14573;5349
167090;167090;42637;33546
85433;85433;13519;11366
621602;621602;73361;77266
123546;123546;28942;13460
26167;26167;5432;2326
142552;142552;18523;16220
11211;11211;1226;1543
165740;165740;23943;13142
16658;16658;2505;1557
23478;23478;3226;2779
120937;120937;3077;10777
142651;142651;36181;15144
15185;15185;4356;1348
309969;309969;14788;55357
52537;52537;6947;5133
34068;34068;6331;3629
42768;42768;5727;4351
32502;32502;5170;2242
38264;38264;5117;1402
67394;67394;10625;6319
30722;30722;3945;1767
96413;96413;27648;10776
24595;24595;5485;2389
23454;23454;4960;3309
125761;125761;8974;16323
55797;55797;6032;7169
379616;379616;23455;59715
66271;66271;4160;8347
21386;21386;2877;1485
196629;196629;8949;12768
20678;20678;4721;1654
52647;52647;11069;4446
61351;61351;10897;5359
69567;69567;13390;5055
20119;20119;4163;1335
216014;216014;50256;28819
9958;9958;1691;919
35466;35466;3884;2768
28818;28818;4404;2261
36108;36108;5423;3394
66215;66215;8896;5142
91582;91582;8300;6464
110757;110757;23154;12001
320677;320677;26814;69036
19181;19181;4776;1056
253791;253791;21570;26874
104646;104646;6919;6678
29881;29881;4685;1753
37217;37217;5503;2894
164614;164614;32055;15656
3058;3058;428;219
17023;17023;620;718
3574;3574;227;101
7260;7260;793;395
28220;28220;1874;2195
35460;35460;634;1462
5364;5364;452;384
2032;2032;93;260
9094;9094;1282;416
1782;1782;187;61
9350;9350;271;391
4143;4143;380;115
13537;13537;1732;909
25897;25897;740;1940
4181;4181;363;172
7275;7275;1178;339
18741;18741;582;2115
6267;6267;476;266
4498;4498;766;295
5972;5972;160;294
3458;3458;316;172
4367;4367;617;152
7453;7453;418;422
2640;2640;169;81
7847;7847;583;742
4792;4792;234;111
2196;2196;84;108
5540;5540;1151;322
3741;3741;265;115
3139;3139;862;141
1353;1353;66;48
16481;16481;662;1625
8075;8075;826;623
1671;1671;81;189
2930;2930;163;94
2295;2295;239;300
1193;1193;74;62
5815;5815;756;334
11276;11276;1163;626
21802;21802;1833;1755
24131;24131;9409;2737
3895;3895;437;297
5832;5832;1156;317
2904;2904;190;114
4576;4576;341;557
24253;24253;6726;2008
2083;2083;211;92
2884;2884;288;269
148281;148281;3851;17449
6595;6595;1381;449
88565;88565;2204;7907
3363;3363;106;231
2693;2693;110;117
10016;10016;1126;395
2675;2675;510;156
12466;12466;206;781
7454;7454;465;356
2772;2772;1082;512
1556;1556;181;85
9050;9050;267;345
6430;6430;170;264
8849;8849;2070;537
12584;12584;2930;6728
5974;5974;248;295
21652;21652;1000;2454
2519;2519;231;107
71330;71330;10654;23639
37586;37586;5413;2893
16537;16537;2540;1087
12367;12367;2523;1122
105823;105823;17894;9676
87965;87965;9626;9497
39854;39854;5621;1632
12826;12826;3659;928
29475;29475;5507;2737
56742;56742;14133;3037
35912;35912;13045;3561
15540;15540;3736;1203
29862;29862;4075;1881
7976;7976;1374;348
33565;33565;5577;1809
48014;48014;5248;9217
14532;14532;2693;1056
46802;46802;3131;2419
569891;569891;36917;150817
11731;11731;1736;921
17423;17423;2619;1897
43156;43156;8549;5139
37279;37279;2812;3796
28806;28806;8455;2324
16625;16625;1937;466
39270;39270;6929;2246
48152;48152;7074;5229
29447;29447;3932;2585
20659;20659;5748;1471
62909;62909;4236;4642
14332;14332;2668;509
58128;58128;4983;11882
307896;307896;13125;49144
6786;6786;980;197
28105;28105;3461;2023
25578;25578;3255;1918
